"rowname";"size";"isdir";"mode";"mtime";"ctime";"atime";"exe";"1";"2";"3"
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_1.tif";25840548;FALSE;666;2023-03-16 09:40:32;2023-03-16 08:39:51;2023-03-20 11:24:49;"no";3000;2400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_10.tif";35645615;FALSE;666;2023-03-16 10:05:04;2023-03-16 08:39:52;2023-03-20 11:24:49;"no";3300;3800;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_11.tif";28702276;FALSE;666;2023-03-16 11:34:45;2023-03-16 10:05:14;2023-03-20 11:24:49;"no";3400;2000;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_12.tif";32660629;FALSE;666;2023-03-16 09:54:47;2023-03-16 08:39:52;2023-03-20 11:24:49;"no";3200;2400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_13.tif";22799112;FALSE;666;2023-03-16 09:36:46;2023-03-16 08:39:51;2023-03-20 11:24:49;"no";3600;2400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_14.tif";51581849;FALSE;666;2023-03-17 00:42:25;2023-03-16 09:36:57;2023-03-20 11:24:49;"no";2800;4400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_15.tif";43200803;FALSE;666;2023-03-17 08:47:18;2023-03-16 08:39:54;2023-03-20 11:24:49;"no";4200;4400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_16.tif";55965328;FALSE;666;2023-03-17 04:29:35;2023-03-16 08:39:54;2023-03-20 11:24:49;"no";3000;4400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_17.tif";44020823;FALSE;666;2023-03-17 05:38:59;2023-03-17 04:36:42;2023-03-20 11:24:49;"no";3200;3200;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_18.tif";47080413;FALSE;666;2023-03-16 10:32:35;2023-03-16 08:39:53;2023-03-20 11:24:49;"no";4100;3200;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_19.tif";40795420;FALSE;666;2023-03-16 10:12:37;2023-03-16 08:39:53;2023-03-20 11:24:49;"no";3400;2800;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_2.tif";23823059;FALSE;666;2023-03-16 10:58:02;2023-03-16 09:40:40;2023-03-20 11:24:49;"no";3200;2600;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_20.tif";33182273;FALSE;666;2023-03-16 11:48:19;2023-03-16 10:12:46;2023-03-20 11:24:49;"no";3200;2400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_21.tif";28271339;FALSE;666;2023-03-16 09:45:41;2023-03-16 08:39:51;2023-03-20 11:24:49;"no";3600;2000;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_22.tif";36658652;FALSE;666;2023-03-16 10:06:34;2023-03-16 08:39:51;2023-03-20 11:24:49;"no";4000;2400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_23.tif";33287993;FALSE;666;2023-03-16 11:49:42;2023-03-16 10:06:43;2023-03-20 11:24:49;"no";3600;3600;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_24.tif";43752880;FALSE;666;2023-03-16 10:23:59;2023-03-16 08:39:53;2023-03-20 11:24:49;"no";3400;3200;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_25.tif";22623015;FALSE;666;2023-03-16 09:38:29;2023-03-16 08:39:52;2023-03-20 11:24:49;"no";2900;4000;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_26.tif";31509223;FALSE;666;2023-03-16 11:02:15;2023-03-16 09:38:41;2023-03-20 11:24:49;"no";2000;3800;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_27.tif";44996963;FALSE;666;2023-03-16 10:24:28;2023-03-16 08:39:53;2023-03-20 11:24:49;"no";2800;3800;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_28.tif";31530665;FALSE;666;2023-03-16 09:53:33;2023-03-16 08:39:53;2023-03-20 11:24:49;"no";2000;4000;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_29.tif";31001105;FALSE;666;2023-03-16 11:31:31;2023-03-16 09:53:43;2023-03-20 11:24:49;"no";3600;4000;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_3.tif";49476471;FALSE;666;2023-03-16 15:36:52;2023-03-16 08:39:53;2023-03-20 11:24:49;"no";3400;4400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_30.tif";37610173;FALSE;666;2023-03-16 21:16:36;2023-03-16 08:39:54;2023-03-20 11:24:49;"no";2000;4400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_31.tif";39945906;FALSE;666;2023-03-16 13:48:05;2023-03-16 09:45:54;2023-03-20 11:24:49;"no";2200;4400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_32.tif";25349395;FALSE;666;2023-03-16 11:11:20;2023-03-16 09:54:47;2023-03-20 11:24:49;"no";2600;3200;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_33.tif";38550847;FALSE;666;2023-03-16 13:11:57;2023-03-16 11:11:30;2023-03-20 11:24:49;"no";4000;3300;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_34.tif";30318746;FALSE;666;2023-03-16 11:29:32;2023-03-16 09:54:57;2023-03-20 11:24:49;"no";3600;2000;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_35.tif";18643886;FALSE;666;2023-03-16 11:37:32;2023-03-16 10:24:09;2023-03-20 11:24:49;"no";4000;2400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_36.tif";16175009;FALSE;666;2023-03-17 10:46:40;2023-03-16 11:37:42;2023-03-20 11:24:49;"no";3400;5200;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_37.tif";27386440;FALSE;666;2023-03-16 17:40:36;2023-03-16 10:24:41;2023-03-20 11:24:49;"no";2700;4300;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_38.tif";36982309;FALSE;666;2023-03-17 15:37:36;2023-03-16 10:32:47;2023-03-20 11:24:49;"no";4800;4800;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_39.tif";36196270;FALSE;666;2023-03-17 16:34:17;2023-03-17 15:43:17;2023-03-20 11:24:49;"no";4200;4000;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_4.tif";47985813;FALSE;666;2023-03-16 16:45:46;2023-03-16 08:39:54;2023-03-20 11:24:49;"no";2800;4600;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_40.tif";23355371;FALSE;666;2023-03-17 13:20:28;2023-03-16 10:58:12;2023-03-20 11:24:49;"no";4000;4400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_41.tif";16268709;FALSE;666;2023-03-16 11:56:04;2023-03-16 11:02:27;2023-03-20 11:24:49;"no";2200;1900;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_42.tif";28930480;FALSE;666;2023-03-16 13:32:23;2023-03-16 11:56:13;2023-03-20 11:24:49;"no";3600;2300;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_43.tif";13932693;FALSE;666;2023-03-16 12:13:48;2023-03-16 11:11:42;2023-03-20 11:24:49;"no";3700;3600;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_44.tif";40809115;FALSE;666;2023-03-16 13:39:03;2023-03-16 11:29:46;2023-03-20 11:24:49;"no";4000;3800;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_45.tif";15881133;FALSE;666;2023-03-16 18:26:54;2023-03-16 13:39:15;2023-03-20 11:24:49;"no";1600;4800;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_46.tif";24330550;FALSE;666;2023-03-16 16:44:41;2023-03-16 11:31:45;2023-03-20 11:24:49;"no";2500;4200;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_47.tif";23065535;FALSE;666;2023-03-16 22:59:34;2023-03-16 11:34:55;2023-03-20 11:24:49;"no";4000;5400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_48.tif";25119175;FALSE;666;2023-03-16 23:48:51;2023-03-16 23:04:45;2023-03-20 11:24:49;"no";3800;2800;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_49.tif";40519074;FALSE;666;2023-03-16 13:55:01;2023-03-16 11:48:32;2023-03-20 11:24:49;"no";4000;2400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_5.tif";35897802;FALSE;666;2023-03-16 20:31:52;2023-03-16 17:07:28;2023-03-20 11:24:49;"no";3200;4500;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_50.tif";29145216;FALSE;666;2023-03-16 13:31:19;2023-03-16 11:49:57;2023-03-20 11:24:49;"no";4000;2200;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_51.tif";39944467;FALSE;666;2023-03-16 19:35:26;2023-03-16 13:31:30;2023-03-20 11:24:49;"no";4400;4400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_52.tif";41389166;FALSE;666;2023-03-16 14:28:50;2023-03-16 12:14:02;2023-03-20 11:24:49;"no";4600;2400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_53.tif";16557229;FALSE;666;2023-03-16 15:17:19;2023-03-16 13:12:13;2023-03-20 11:24:49;"no";1500;4300;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_54.tif";35935599;FALSE;666;2023-03-17 09:23:31;2023-03-16 15:19:29;2023-03-20 11:24:49;"no";3200;4700;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_55.tif";21091673;FALSE;666;2023-03-16 14:55:42;2023-03-16 13:32:33;2023-03-20 11:24:49;"no";4000;3300;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_56.tif";35299773;FALSE;666;2023-03-16 15:47:23;2023-03-16 13:55:14;2023-03-20 11:24:49;"no";4600;3400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_57.tif";5481458;FALSE;666;2023-03-16 16:10:22;2023-03-16 15:47:33;2023-03-20 11:24:49;"no";2200;2100;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_58.tif";970066;FALSE;666;2023-03-16 14:00:32;2023-03-16 13:55:39;2023-03-20 11:24:49;"no";700;1000;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_59.tif";40388;FALSE;666;2023-03-16 14:00:47;2023-03-16 14:00:40;2023-03-20 11:24:49;"no";300;400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_6.tif";30062646;FALSE;666;2023-03-16 09:54:35;2023-03-16 08:39:52;2023-03-20 11:24:49;"no";3100;3600;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_60.tif";25650977;FALSE;666;2023-03-16 15:26:12;2023-03-16 14:00:55;2023-03-20 11:24:49;"no";3900;3200;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_7.tif";26871063;FALSE;666;2023-03-16 09:41:47;2023-03-16 08:39:51;2023-03-20 11:24:49;"no";3200;2000;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_8.tif";30599646;FALSE;666;2023-03-16 11:11:34;2023-03-16 09:41:56;2023-03-20 11:24:49;"no";3000;2400;1
"C:/Users/au542768/digijord/digijord_data//results_test_6//predictions//tiles//clay/clay_tile_9.tif";39735813;FALSE;666;2023-03-16 13:54:14;2023-03-16 08:39:52;2023-03-20 11:24:49;"no";3200;4600;1
